OOSDate,Alpha,Beta1,Beta2,Beta3,Rsquared,DW,Baseline,Growth
11/09/2007,0.0110410749939847,0.566540365648314,0.149701917294417,0.191369111900609,0.534363301298736,2.78078294712573,3.49994884154522,0.0532826827417621
02/11/2008,0.0180183943618493,0.279822980895378,0.0512732614177134,0.387295969767249,0.584838307519431,2.76225651949522,3.49279793092859,0.0554545104329889
05/12/2008,0.012864975944175,0.219997512411322,0.233850156925548,0.432894939022373,0.603367866840821,2.80767427642261,3.55514426804573,0.0534120925871233
08/11/2008,0.0145394856688756,0.205789411563722,0.254600941444626,0.370515237651052,0.624225528722338,2.82261343123234,3.47522391053699,0.0575427520854823
11/11/2008,0.0137954221254187,0.204093031646361,0.258367699114162,0.341809910394836,0.644085537546959,2.8214050843999,3.60865639692259,0.0521704654846271
02/11/2009,0.0151489692651692,0.149702809477003,0.252678479855335,0.330156790692219,0.657756742872968,2.82393182603146,3.96109970242664,0.0381936326222496
05/12/2009,0.0186506354422654,0.158855063683123,0.0866526839944228,0.315238167932107,0.672372127177871,2.80888390432027,4.09775237073335,0.0336588035614165
08/11/2009,0.0144452427189599,0.117097476771566,0.0683781999021703,0.529341161209606,0.672125802655175,2.81837060742454,4.00607875217534,0.0365086488225652
11/11/2009,0.0134218503605966,0.106876612070528,0.0197986636296154,0.50375154240838,0.671938953735304,2.79759462337855,4.05313834699194,0.0341307237987769
02/11/2010,0.0126581323748919,0.0932243556328173,0.0166540041501643,0.462388343638248,0.671968402623504,2.7821400086102,3.97320656817437,0.0366364426125914
05/12/2010,0.0115473791663991,0.0827415714259152,0.01463078762768,0.459474730674397,0.671973727902572,2.76926192383402,4.00883011220346,0.0348366247402401
08/11/2010,0.0115724103768813,0.0828578703685332,0.0148690325491869,0.459550357461057,0.672872339705693,2.77375892877624,3.96979616988163,0.0357055381121869
11/11/2010,0.0154710630369105,0.0903124943090073,0.0305370576994762,0.498061989832505,0.667877459392242,2.67337026992379,3.9664779154489,0.0362539949718805
02/11/2011,0.0130713971775368,0.0850421124812114,0.0322501970643477,0.489447314767995,0.666043667110162,2.7625757057824,3.89050582905214,0.0387774316416933
05/12/2011,0.0124153180314711,0.081743757080828,0.0312023309249182,0.489180009592925,0.6707453119015,2.76730757137428,3.93272523366209,0.0372773945625637
08/11/2011,0.0124237162634774,0.0818078241585621,0.0312545970285842,0.489213489823996,0.676733649604737,2.76880936125634,3.85543970307425,0.0397397281005551
11/11/2011,0.0118684575757142,0.0847570501816884,0.0283153865883573,0.487271965169388,0.682352751199879,2.76709860018811,3.84879336395654,0.0397848226010251
